,ParasiteCheckedBinomial,Par.Phylum,Par.Class,a.host.infect.site,b.host.infect.site,length.min.mm,length.max.mm,width.min.um,width.max.um,male.length.min,male.length.max,male.width.min,male.width.max,female.length.min,female.length.max,female.width.min,female.width.max,juv.lenth.min.um,juv.length.max.um,juv.width.min.um,juv.width.max.um,infect.larvae.min.um,infect.larvae.max.um,egg.size.min,egg.size.max,Ref,doi.y,alyssa.notes
48,Ascaris suum,Nematoda,Chromadorea,small intestine,,15,40,3000,6000,15,25,3000,4000,20,40,5000,6000,NA,NA,NA,NA,NA,NA,60,80,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
49,Ascarops dentata,Nematoda,Chromadorea,Stomach,,25,55,700,1200,25,35,700,800,40,55,1100,1200,NA,NA,NA,NA,NA,NA,39,39,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
50,Ascarops strongylina,Nematoda,Chromadorea,Stomach,Small intestine,NA,NA,NA,NA,10,15,300,300,15,22,390,390,NA,NA,NA,NA,NA,NA,34,40,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
51,Ascocotyle ampullacea,Platyhelminthes,Trematoda,intestine,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,
52,Ascocotyle leighi,Platyhelminthes,Trematoda,intestine,,0.283,0.402,0.084,0.122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,18,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,
53,Ascorhytis charadriformis,Platyhelminthes,Trematoda,intestine,,0.6,0.6,0.214,0.214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,24,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,
54,Ashworthius sidemi,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
55,Atriotaenia incisa,Platyhelminthes,Cestoda,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
56,Atriotaenia procyonis,Platyhelminthes,Cestoda,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
57,Avitellina centripunctata,Platyhelminthes,Cestoda,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
58,Baschkirovitrema incrassatum,Platyhelminthes,Trematoda,intestine,,7,17.5,0.96,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,123,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,
59,Baylisascaris columnaris,Nematoda,Chromadorea,intestine,,1.32,1.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,310,380,60,88,R.C. Anderson. Nematode Parasites of Vertebrates: Their development and transmission. 2000.,NA,
60,Baylisascaris devosi,Nematoda,Chromadorea,intestine,,1.12,1.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,308,58,77,R.C. Anderson. Nematode Parasites of Vertebrates: Their development and transmission. 2000.,NA,
61,Baylisascaris procyonis,Nematoda,Chromadorea,intestine,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1320,1740,NA,NA,310,380,NA,NA,R.C. Anderson. Nematode Parasites of Vertebrates: Their development and transmission. 2000.,NA,
62,Baylisascaris transfuga,Nematoda,Chromadorea,intestine,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R.C. Anderson. Nematode Parasites of Vertebrates: Their development and transmission. 2000.,NA,
63,Baylisiella tecta,Platyhelminthes,Cestoda,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
64,Bolbosoma bobrovoi,Acanthocephala,Palaeacanthocephala,intestine,,8,8,47,1040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,K.I. Skrjabin. Acanthocephala of Domestic and Wild Animals. 1972,NA,
65,Brachylaima fuscatus,Platyhelminthes,Trematoda,small intestine,ceca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
66,Brachylaima pellucidum,Platyhelminthes,Trematoda,small intestine,ceca,1.228,2.885,0.255,0.564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.8,28,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,
67,Brachylaima recurva,Platyhelminthes,Trematoda,small intestine,ceca,4,5,0.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,30,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,
68,Brachylaima tokudai,Platyhelminthes,Trematoda,small intestine,ceca,1.3,3.5,0.3,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,33,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,
69,Brachylaima virginiana,Platyhelminthes,Trematoda,small intestine,ceca,1.94,2.195,0.319,0.319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,36,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,B. virginianum
70,Bronchonema magna,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
71,Brugia beaveri,Nematoda,Chromadorea,lymph nodes,skin,16.5,26,65,100,16.5,16.5,65,65,26,26,100,100,285,325,6,6,NA,NA,NA,NA,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,juvenile=microfilariae
72,Bunostomum trigonocephalum,Nematoda,Chromadorea,small intestine,,12,26,NA,NA,12,17,NA,NA,19,26,NA,NA,450,700,NA,NA,360,600,82,97,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980. AND R.C. Anderson,NA,
73,Calicophron calicophorum,Platyhelminthes,Trematoda,digestive tract,,9.44,15,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,135,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,
74,Camelostrongylus harrisi,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
